position,href,salary_from,salary_to,salary_currency,source
Разработчик Python,https://hh.ru/vacancy/47891343?from=vacancy_search_list&query=Python,100000.0,200000.0,руб.,hh.ru
Программист Python / Python Developer (удаленно),https://hh.ru/vacancy/48247232?from=vacancy_search_list&query=Python,60000.0,100000.0,руб.,hh.ru
Backend-разработчик (Python),https://hh.ru/vacancy/46666248?from=vacancy_search_list&query=Python,70000.0,140000.0,руб.,hh.ru
Middle QA Automation Engineer (Python),https://hh.ru/vacancy/43394113?from=vacancy_search_list&query=Python,180000.0,250000.0,руб.,hh.ru
Senior Python Developer,https://hh.ru/vacancy/48293376?from=vacancy_search_list&query=Python,3000.0,,EUR,hh.ru
Python разработчик (junior middle),https://hh.ru/vacancy/48497067?from=vacancy_search_list&query=Python,,,,hh.ru
Программист Python,https://hh.ru/vacancy/47746417?from=vacancy_search_list&query=Python,50000.0,,руб.,hh.ru
Python Developer,https://hh.ru/vacancy/48250435?from=vacancy_search_list&query=Python,120000.0,150000.0,руб.,hh.ru
Python developer,https://russia.superjob.ru/vakansii/python-developer-39369312.html,,,,superjob.ru
Backend Developer Python,https://russia.superjob.ru/vakansii/backend-developer-python-39176702.html,,100000.0,руб.,superjob.ru
Разработчик Python,https://russia.superjob.ru/vakansii/razrabotchik-python-39276300.html,240000.0,300000.0,руб.,superjob.ru
Python developer (Backend) в международную IT-компанию,https://russia.superjob.ru/vakansii/python-developer-38909638.html,,230000.0,руб.,superjob.ru
Программист Python,https://russia.superjob.ru/vakansii/programmist-python-39366981.html,120000.0,,руб.,superjob.ru
Python Django fullstack разработчик,https://russia.superjob.ru/vakansii/python-django-fullstack-razrabotchik-39274896.html,,200000.0,руб.,superjob.ru
Junior / Pre-middle Python Developer,https://russia.superjob.ru/vakansii/junior-38904897.html,40000.0,50000.0,руб.,superjob.ru
Backend Python Developer,https://russia.superjob.ru/vakansii/backend-python-developer-39360300.html,,,,superjob.ru
Senior Python Backend Developer / WEB-разработчик,https://russia.superjob.ru/vakansii/senior-python-backend-developer-39169043.html,,,,superjob.ru
Старший системный интегратор / Senior Разработчик Python,https://russia.superjob.ru/vakansii/starshij-sistemnyj-integrator-39272253.html,140000.0,170000.0,руб.,superjob.ru
Python разработчик,https://russia.superjob.ru/vakansii/python-razrabotchik-39035979.html,,,,superjob.ru
Junior / Middle Backend Developer (Python),https://russia.superjob.ru/vakansii/junior-39354280.html,65000.0,80000.0,руб.,superjob.ru
Backend-разработчик Python,https://russia.superjob.ru/vakansii/backend-razrabotchik-python-39007161.html,40000.0,,руб.,superjob.ru
Python-разработчик,https://russia.superjob.ru/vakansii/python-razrabotchik-38996596.html,50000.0,,руб.,superjob.ru
Python developer,https://russia.superjob.ru/vakansii/python-developer-39307397.html,,,,superjob.ru
Python developer,https://russia.superjob.ru/vakansii/python-developer-39082253.html,180000.0,,руб.,superjob.ru
Junior / Full Stack Python Engineer,https://russia.superjob.ru/vakansii/junior-39306223.html,,,,superjob.ru
Python разработчик (middle +),https://russia.superjob.ru/vakansii/python-razrabotchik-39302335.html,,180000.0,руб.,superjob.ru
"Аналитик в отдел планирования (SQL, Python/R)",https://russia.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,,,,superjob.ru
Teamlead команды разработки с Python,https://russia.superjob.ru/vakansii/teamlead-komandy-razrabotki-s-python-38938952.html,160000.0,,руб.,superjob.ru
"Full-stack Developer (Python, Javascript)",https://russia.superjob.ru/vakansii/full-stack-developer-39112502.html,150000.0,,руб.,superjob.ru
Разработчик Python / Django,https://russia.superjob.ru/vakansii/razrabotchik-python-39186915.html,,150000.0,руб.,superjob.ru
Senior Python разработчик,https://russia.superjob.ru/vakansii/senior-python-razrabotchik-39177573.html,,350000.0,руб.,superjob.ru
Data Analyst (Analytics Team) / Аналитик баз данных,https://russia.superjob.ru/vakansii/data-analyst-39323418.html,,,,superjob.ru
DevOps-инженер,https://russia.superjob.ru/vakansii/devops-inzhener-39094613.html,,,,superjob.ru
Golang (Go) Developer в международную IT-компанию,https://russia.superjob.ru/vakansii/golang-38910091.html,,230000.0,руб.,superjob.ru
"Преподаватель it-курсов, программирования, информатики",https://russia.superjob.ru/vakansii/prepodavatel-it-kursov-38910587.html,,140000.0,руб.,superjob.ru
Специалист службы поддержки (с техническими знаниями),https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37985804.html,15000.0,,руб.,superjob.ru
"Аналитик поддержки приложений (ERP, CRM)",https://russia.superjob.ru/vakansii/analitik-podderzhki-prilozhenij-39176303.html,,,,superjob.ru
Разработчик (программист) баз данных (DBA),https://russia.superjob.ru/vakansii/razrabotchik-39366887.html,,,,superjob.ru
Специалист технической поддержки,https://russia.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-39201863.html,70000.0,,руб.,superjob.ru
Программист PHP,https://russia.superjob.ru/vakansii/programmist-php-39366980.html,,,,superjob.ru
Преподаватель компьютерных курсов для детей,https://russia.superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-dlya-detej-39039245.html,35000.0,40000.0,руб.,superjob.ru
Инженер BMS/АСУЗ,https://russia.superjob.ru/vakansii/inzhener-bms-33546498.html,,,,superjob.ru
Разработчик SQL,https://russia.superjob.ru/vakansii/razrabotchik-sql-38284142.html,,,,superjob.ru
Ведущий системный администратор (DevOps),https://russia.superjob.ru/vakansii/veduschij-sistemnyj-administrator-39273620.html,,150000.0,руб.,superjob.ru
IT-специалист,https://russia.superjob.ru/vakansii/it-specialist-39038595.html,40000.0,,руб.,superjob.ru
DevOps-инженер,https://russia.superjob.ru/vakansii/devops-inzhener-39365803.html,90000.0,,руб.,superjob.ru
Ведущий аналитик,https://russia.superjob.ru/vakansii/veduschij-analitik-36181150.html,,,,superjob.ru
Системный инженер / DevOps (удаленная работа),https://russia.superjob.ru/vakansii/sistemnyj-inzhener-39014091.html,120000.0,,руб.,superjob.ru
Lead data analyst / Product owner (Analytics Team),https://russia.superjob.ru/vakansii/lead-data-analyst-39323216.html,,,,superjob.ru
QA Automation (Platform V Dictionaries),https://russia.superjob.ru/vakansii/qa-automation-39292434.html,,,,superjob.ru
Ведущий программист С++,https://russia.superjob.ru/vakansii/veduschij-programmist-s-39274370.html,170000.0,200000.0,руб.,superjob.ru
Педагог дополнительного образования в сфере IT,https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-v-sfere-it-38107002.html,,,,superjob.ru
Старший программист 1C,https://russia.superjob.ru/vakansii/starshij-programmist-1c-39061529.html,150000.0,,руб.,superjob.ru
Архитектор информационных систем,https://russia.superjob.ru/vakansii/arhitektor-informacionnyh-sistem-39339600.html,,,,superjob.ru
Ведущий специалист в группу сопровождения процессов взыскания,https://russia.superjob.ru/vakansii/veduschij-specialist-v-gruppu-soprovozhdeniya-processov-vzyskaniya-39250325.html,60000.0,,руб.,superjob.ru
"Инженер, научный сотрудник (электрохимия)",https://russia.superjob.ru/vakansii/inzhener-39067000.html,60000.0,,руб.,superjob.ru
Программист,https://russia.superjob.ru/vakansii/programmist-38904557.html,,,,superjob.ru
Team Lead,https://russia.superjob.ru/vakansii/team-lead-39272315.html,200000.0,,руб.,superjob.ru
Аналитик,https://russia.superjob.ru/vakansii/analitik-38904495.html,95000.0,115000.0,руб.,superjob.ru
Администратор информационных систем,https://russia.superjob.ru/vakansii/administrator-informacionnyh-sistem-33889753.html,,,,superjob.ru
Программист-разработчик,https://russia.superjob.ru/vakansii/programmist-razrabotchik-39255941.html,,,,superjob.ru
Аналитик данных,https://russia.superjob.ru/vakansii/analitik-dannyh-38895386.html,,,,superjob.ru
Технический писатель (разработка программного обеспечения),https://russia.superjob.ru/vakansii/tehnicheskij-pisatel-39035733.html,30000.0,,руб.,superjob.ru
Программист-разработчик,https://russia.superjob.ru/vakansii/programmist-razrabotchik-31861344.html,,,,superjob.ru
Системный инженер по мониторингу,https://russia.superjob.ru/vakansii/sistemnyj-inzhener-po-monitoringu-39359402.html,,,,superjob.ru
Web-разработчик,https://russia.superjob.ru/vakansii/web-razrabotchik-35121873.html,130000.0,,руб.,superjob.ru
Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России,https://russia.superjob.ru/vakansii/specialist-1-razryada-otdela-monitoringa-funkcionirovaniya-ais-fns-rossii-38482723.html,45000.0,,руб.,superjob.ru
Data Analyst,https://russia.superjob.ru/vakansii/data-analyst-38903828.html,,,,superjob.ru
